thisInstruction,cue_file,target_x,target_y,is_valid,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructionsTxtx.started,instructionsTxtx.stopped,startExp.x,startExp.y,startExp.leftButton,startExp.midButton,startExp.rightButton,startExp.time,startExp.clicked_name,startExp.started,startExp.stopped,StartButton.started,StartButton.stopped,fixation.started,fixation.stopped,cue.started,cue.stopped,target.started,target.stopped,resp.x,resp.y,resp.leftButton,resp.midButton,resp.rightButton,resp.clicked_name,resp.started,resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Hit the targets!,,,,,0,0,0,0,,,,,13.35805278737098,None,0.36319444444444443,-0.39166666666666666,1,0,0,1.1649013459682465,StartButton,0.011364960111677647,None,13.35805278737098,None,,,,,,,,,,,,,,,,001,2021_Jan_19_1147,PosnerExp,2020.2.10,None,
Targets will appear on the left and the right,,,,,0,1,1,1,,,,,14.559144261293113,None,0.3645833333333333,-0.3902777777777778,1,0,0,1.0117621487006545,StartButton,0.009802116081118584,None,14.559144261293113,None,,,,,,,,,,,,,,,,001,2021_Jan_19_1147,PosnerExp,2020.2.10,None,
Hit them as fast as you can!,,,,,0,2,2,2,,,,,15.610204447992146,None,0.3659722222222222,-0.39375,1,0,0,0.5497905062511563,StartButton,0.014585549011826515,None,15.610204447992146,None,,,,,,,,,,,,,,,,001,2021_Jan_19_1147,PosnerExp,2020.2.10,None,
,images/arrow_right.png,0.5,0.3,valid,,,,,0,0,0,6,,,,,,,,,,,,,,16.227574036456645,16.76211605127901,16.927957511506975,17.161465055309236,17.128024914301932,None,0.4625,0.23402777777777778,1,0,0,target,0.9035427458584309,None,,001,2021_Jan_19_1147,PosnerExp,2020.2.10,None,
,images/arrow_left.png,-0.5,0.3,valid,,,,,0,1,1,1,,,,,,,,,,,,,,17.879546392709017,18.378652778454125,18.582391393370926,18.81281830649823,18.780645239166915,None,-0.5590277777777778,0.26458333333333334,1,0,0,target,0.9172881189733744,None,,001,2021_Jan_19_1147,PosnerExp,2020.2.10,None,
,images/arrow_left.png,-0.5,-0.3,valid,,,,,0,2,2,0,,,,,,,,,,,,,,19.947345414198935,20.46549461223185,20.649049498140812,20.880621522665024,20.880621522665024,None,-0.4409722222222222,-0.30069444444444443,1,0,0,target,0.9324945965781808,None,,001,2021_Jan_19_1147,PosnerExp,2020.2.10,None,
,images/arrow_left.png,0.5,0.3,invalid,,,,,0,3,3,8,,,,,,,,,,,,,,22.34917118679732,22.86632650345564,23.067580084316432,23.299691223539412,23.26669633947313,None,0.49722222222222223,0.3090277777777778,1,0,0,target,0.9021417992189527,None,,001,2021_Jan_19_1147,PosnerExp,2020.2.10,None,
,images/arrow_right.png,-0.5,-0.3,invalid,,,,,0,4,4,9,,,,,,,,,,,,,,27.303399872034788,27.821586574427783,28.003959539346397,28.22006202302873,28.22006202302873,None,-0.4666666666666667,-0.29583333333333334,1,0,0,target,0.9012627163901925,None,,001,2021_Jan_19_1147,PosnerExp,2020.2.10,None,
,images/arrow_right.png,0.5,-0.3,valid,,,,,0,5,5,5,,,,,,,,,,,,,,29.004770059138536,29.522043647244573,29.705481412820518,29.938832345418632,29.905768675729632,None,0.5618055555555556,-0.28888888888888886,1,0,0,target,0.9306676406413317,None,,001,2021_Jan_19_1147,PosnerExp,2020.2.10,None,
,images/arrow_left.png,-0.5,-0.3,valid,,,,,0,6,6,2,,,,,,,,,,,,,,30.78999320883304,31.324572418816388,31.490288314409554,31.724828768521547,31.69141375180334,None,-0.4909722222222222,-0.24791666666666667,1,0,0,target,0.9186721248552203,None,,001,2021_Jan_19_1147,PosnerExp,2020.2.10,None,
